Institution,Country,AC,FC
"Debre Markos University (DMU)",Ethiopia,3,0.0065577465934118
"School of Preventive Oncology",India,4,0.0065500440798891
"Fundación de Investigación Sanitaria de las Islas Baleares Ramón Llull (FISIB)",Spain,1,0.0065359477124183
"Center for Population and Health e.V.",Germany,3,0.0065195291346504
"Denmark Ministry of Higher Education and Science",Denmark,11,0.006403069372255
"The Icelandic Centre for Research (RANNIS)",Iceland,11,0.006403069372255
"Natural Sciences and Engineering Research Council of Canada (NSERC)",Canada,11,0.006403069372255
"Finland Ministry of Education, Science and Culture",Finland,11,0.006403069372255
"NSW Office of Environment and Heritage (OEH)",Australia,1,0.0063492063492063
"Hanoi National University of Education (HNUE)",Vietnam,3,0.006337557252676
"Aswan University",Egypt,3,0.006337557252676
"King Chulalongkorn Memorial Hospital",Thailand,1,0.0063291139240506
"Nord-Trøndelag Health Trust",Norway,3,0.0062800724353443
"University Clinic of Psychiatry",Macedonia,2,0.0062671441633648
"Center for Tropical Livestock Genetics and Health (CTLGH)","United Kingdom (UK)",1,0.00625
Avera,"United States of America (USA)",2,0.0062379853902345
"Wroclaw Technology Park (WPT)",Poland,1,0.0062111801242236
"Cape Peninsula University of Technology (CPUT)","South Africa",2,0.0061766311766312
"Grimm Aerosol Technik GmbH and Co. KG",Germany,1,0.0061728395061728
"Ipswich Hospital NHS Trust","United Kingdom (UK)",1,0.0061728395061728
"Tallaght Hospital",Ireland,1,0.0061728395061728
"Central University of Kerala (CUK)",India,3,0.0060997482675753
"Bureau of Oceans and International Environmental and Scientific Affairs","United States of America (USA)",1,0.0060975609756098
"Defense Intelligence Agency (DIA)","United States of America (USA)",1,0.0060975609756098
"In-Q-Tel, Inc.","United States of America (USA)",1,0.0060975609756098
"International Medical University (IMU)",Malaysia,3,0.00605004840625
"Near East University (NEU)",Turkey,8,0.0059839221712391
"Alzheimer's Association","United States of America (USA)",3,0.0059713517514029
"Fujian Haiou Aquatic Food Co., Ltd.",China,1,0.005952380952381
"N.N. Alexandrov National Cancer Centre of Belarus for Oncology and Medical Radiology",Belarus,3,0.0058594254176095
"Shizuoka University of Welfare",Japan,1,0.0058139534883721
"Red Cross War Memorial Children's Hospital","South Africa",1,0.0057471264367816
"Sligo University Hospital (SUH)",Ireland,1,0.0057142857142857
"Portiuncula University Hospital (PUH)",Ireland,1,0.0057142857142857
"Merlin Park University Hospital (MPUH)",Ireland,1,0.0057142857142857
"Letterkenny University Hospital (LUH)",Ireland,1,0.0057142857142857
"Roscommon University Hospital (RUH)",Ireland,1,0.0057142857142857
"Mayo University Hospital (MUH)",Ireland,1,0.0057142857142857
"Treviso General Hospital",Italy,2,0.0057063118287608
"Istituto Zooprofilattico Sperimentale dell’Umbria e delle Marche “Togo Rosati” (IZSUM)",Italy,1,0.0056818181818182
"Lillebaelt Hospital",Denmark,1,0.0056818181818182
"Shaoguan University (SGU)",China,1,0.0056818181818182
"Institute for Clinical Effectiveness and Health Policy (IECS)",Argentina,1,0.0056306306306306
"Corozal Veterinary Hospital",Panama,1,0.0056179775280899
"Snohomish Health District","United States of America (USA)",1,0.0055865921787709
"University Clinical Center Tuzla (UKC Tuzla)","Bosnia and Herzegovina",1,0.0055865921787709
"University Clinical Hospital Mostar","Bosnia and Herzegovina",1,0.0055865921787709
"Gallipoli Medical Research Foundation",Australia,1,0.0055865921787709
"University Clinical Center of Kosovo",Kosovo,1,0.0055865921787709
"Urmia University of Medical Science (UMSU)",Iran,2,0.005556400692456
"Madda Walabu University (MWU)",Ethiopia,2,0.005556400692456
"Red de Investigación Renal (REDINREN)",Spain,1,0.0055555555555556
"CHU Poissy Saint-Germain",France,2,0.0055535948539351
"Scientific and Technological Research Council of Turkey (TÜBİTAK)",Turkey,1,0.005524861878453
"North Florida/South Georgia Veterans Health System (NF/SGVHS)","United States of America (USA)",1,0.005524861878453
"Eta Cerkno d.o.o.",Slovenia,1,0.0054945054945055
"Optical Development",Spain,1,0.0054945054945055
"Bjørknes College",Norway,1,0.0054945054945055
"CINKARNA, Metalurško-kemična Industrija Celje, d.d.",Slovenia,1,0.0054945054945055
"LPKF Laser & Electronics d.o.o.",Slovenia,1,0.0054945054945055
"BALDER, Optoelectronic Elements and Measuring Systems, Ltd.",Slovenia,1,0.0054945054945055
"Helios d.d.",Slovenia,1,0.0054945054945055
"Helios d.o.o.",Slovenia,1,0.0054945054945055
"Steklarna Hrastnik",Slovenia,1,0.0054945054945055
"Gorenje, d.d.",Slovenia,1,0.0054945054945055
"Cetis d.d.",Slovenia,1,0.0054945054945055
"N. N. Petrov Research Institute of Oncology",Russia,2,0.0054277840733491
"Evangelische Kliniken Bonn",Germany,2,0.0054277840733491
"Institute of Scientific and Technical Research for Defense (CITEDEF)",Argentina,1,0.0053619302949062
"Azienda Sanitaria Universitaria Integrata di Trieste",Italy,1,0.0053475935828877
"Azienda Ulss 12 Veneziana",Italy,1,0.0053418803418803
"Azienda ULSS 6 Vicenza",Italy,1,0.0053418803418803
"Rovigo Hospital",Italy,1,0.0053418803418803
"Azienda per i Servizi Sanitari Integrati di Trento",Italy,1,0.0053418803418803
"Fondazione SSP",Italy,1,0.0053418803418803
"Instituto Superior de Formación Docente Salomé Ureña (ISFODOSU)","Dominican Republic",1,0.0053191489361702
"Arcadia University","United States of America (USA)",1,0.0053191489361702
"Sant Longowal Institute of Engineering and Technology (SLIET)",India,1,0.0053191489361702
"Argentine Medical Association (AMA)",Argentina,4,0.0052993484466365
"National Institute of Health (INS)",Colombia,4,0.0052993484466365
"Hampshire Hospitals NHS Foundation Trust","United Kingdom (UK)",2,0.0052976254680494
"Deciphera Pharmaceuticals, Inc.","United States of America (USA)",1,0.0052083333333333
"Metamark Genetics, Inc.","United States of America (USA)",1,0.0052083333333333
"Hyblean Association for Research on Epidemiology",Italy,1,0.0052083333333333
"Universidad Nacional de la Amazonía Peruana (UNAP)",Peru,2,0.0051688263801096
"Flower Diversity Institute","United States of America (USA)",1,0.0051546391752577
"Allwegene Technology",China,1,0.0051546391752577
"Epsom and St Helier University Hospitals NHS Trust","United Kingdom (UK)",2,0.0051065534616392
"Hospital of South West Jutland",Denmark,1,0.0050505050505051
"Klinik Lengg AG",Switzerland,1,0.0050505050505051
"Viborg Regional Hospital",Denmark,1,0.0050505050505051
"Hässleholm Hospital",Sweden,1,0.0050505050505051
"Royal Botanic Gardens Melbourne (RBG Melbourne)",Australia,1,0.0050505050505051
"National Health Insurance Service (NIHS)","South Korea",2,0.0050258248363685
"University of Dallas (UD)","United States of America (USA)",1,0.0050251256281407
"University of Atlántico (UA)",Colombia,1,0.0050251256281407
"Næstved-Slagelse-Ringsted Hospitals",Denmark,2,0.0050104850465328
"Thomayer Hospital (TN)","Czech Republic",2,0.0050075075075075
"Castle Peak Hospital",China,2,0.0050061325123276
"DETECT Early Intervention Service for Psychosis",Ireland,2,0.0050061325123276
"State Mental Hospital Haar",Germany,2,0.0050061325123276
"Zabol University of Medical Sciences",Iran,2,0.0049736221414491
"Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso (IFMT)",Brazil,1,0.004950495049505
AstroCampania,Italy,1,0.0049019607843137
"Klinikum Frankfurt (Oder)",Germany,2,0.0047724464579901
"Eating Recovery Center","United States of America (USA)",2,0.0047724464579901
Parkland-Klinik,Germany,2,0.0047724464579901
"Kartini Clinic for Children and Families","United States of America (USA)",2,0.0047724464579901
"Stremble Ventures Ltd.",Cyprus,2,0.0047724464579901
"GGNet Mental Health",Netherlands,3,0.0047641871473485
"Swiss National Park",Switzerland,1,0.0047619047619048
"HBF Health Limited",Australia,1,0.0047619047619048
"Nishtar Medical University",Pakistan,4,0.0047611353142361
"Mufti Mehmood Memorial Teaching Hospital",Pakistan,4,0.0047611353142361
"Velez Sarsfield Hospital",Argentina,4,0.0047611353142361
"Gandhi Medical College, Bhopal (GMC)",India,4,0.0047611353142361
"Pacific Institute for Research and Evaluation (PIRE)","United States of America (USA)",4,0.0047611353142361
"Gomal University",Pakistan,4,0.0047611353142361
"Micronesia Department of Health and Social Affairs",Micronesia,4,0.0047611353142361
"Al-Shifa Trust Eye Hospital",Pakistan,4,0.0047611353142361
"Helping Hands Foundation, Inc. (HHF)","United States of America (USA)",4,0.0047611353142361
"Russian-Armenian University (RAU)",Armenia,4,0.0047247662218106
"Institut Centrafricain de Recherche Agronomique (ICRA)","Central African Republic",1,0.0047169811320755
"A Rocha International","United Kingdom (UK)",1,0.0047169811320755
"Udzungwa Mountains National Park (UMNP)",Tanzania,1,0.0047169811320755
"Ministère des Eaux, Forêts, Chasse et Pêche (MEFCP)","Central African Republic",1,0.0047169811320755
"Université Officielle de Bukavu (UOB)",Congo,1,0.0047169811320755
"Friends of Ecosystem and the Environment (FEE)",Liberia,1,0.0047169811320755
"MUSE - Museo delle Scienze di Trento",Italy,1,0.0047169811320755
PolyOmica,Netherlands,1,0.0047169811320755
"Ministère de l’Environnement et Développement Durable (MEDD)",Congo,1,0.0047169811320755
"Universidad Metropolitana (UMET)","United States of America (USA)",22,0.0047164758942562
"Ana G. Méndez University System (SUAGM)","United States of America (USA)",22,0.0047164758942562
"Alaska Radiology Associates (ARA)","United States of America (USA)",1,0.0046728971962617
"Birjand University of Medical Sciences (BUMS)",Iran,2,0.0046619463096295
"Flamingo Land Ltd.","United Kingdom (UK)",2,0.0046195803417376
"Centre de Formation et de Recherche en Conservation Forestière (CEFRECOF)",Congo,2,0.0046195803417376
"Alliance for Improving Health Outcomes, Inc.",Philippines,3,0.0046173808910231
"Dayanand Medical College and Hospital (DMCH)",India,1,0.0045871559633028
"Black Dog Institute",Australia,1,0.0045662100456621
"Prince of Wales Hospital",Australia,1,0.0045662100456621
"University of La Sabana (Unisabana)",Colombia,2,0.0045521273307922
"World Food Programme (WFP)",Italy,2,0.0045486484870231
"Krishna Institute of Medical Sciences (KIMSDU)",India,2,0.0045486484870231
"Universidad del Cauca",Colombia,1,0.0045454545454545
"French National Cancer Institute (INCa)",France,2,0.0045441457006083
"Kilimanjaro Christian Medical Centre (KCMC)",Tanzania,1,0.0045045045045045
"Kailuan General Hospital",China,1,0.0045045045045045
"University of Kelaniya (UoK)","Sri Lanka",1,0.0045045045045045
"Leonardo S.p.A.",Italy,1,0.0044642857142857
"North Estonia Medical Centre",Estonia,1,0.0044444444444444
"Chestnut Project",Peru,1,0.0044247787610619
"National Open University and Distance (UNAD)",Colombia,1,0.0044247787610619
"Herbario Universitario, UNELLEZ - Guanare (PORT)",Venezuela,1,0.0044247787610619
"Van Hall Larenstein University of Applied Sciences (VHL)",Netherlands,1,0.0044247787610619
"Universidad Estatal Amazónica (UEA)",Ecuador,1,0.0044247787610619
"Data for Sustainability",Netherlands,1,0.0044247787610619
"City of Oakland Park Department of Parks and Leisure Services","United States of America (USA)",1,0.0044247787610619
"Jorge Basadre Grohmann National University (UNJBG)",Peru,1,0.0044247787610619
"Agteca - Agrotecnologica Amazonica",Bolivia,1,0.0044247787610619
"Center for Conservation Research and Management of Protected Areas (CIMA)",Peru,1,0.0044247787610619
"The Landscapes and Livelihoods Group (TLLG)","United Kingdom (UK)",1,0.0044247787610619
"Van der Hout Forestry Consulting",Netherlands,1,0.0044247787610619
"Tropenbos International (TBI)",Netherlands,1,0.0044247787610619
"Guyana Forestry Commission",Guyana,1,0.0044247787610619
"Lindner Center of HOPE","United States of America (USA)",3,0.0044207534389285
"Burdur Mehmet Akif Ersoy University",Turkey,21,0.0044160908513339
"Shahrekord University of Medical Sciences (SKUMS)",Iran,2,0.004405104781854
"Centre Hospitalier de Niort",France,2,0.0043860525305259
"National Autonomous University of Honduras (UNAH)",Honduras,8,0.0043612533699815
"Università Iuav di Venezia (IUAV)",Italy,5,0.0043396146337323
"Frimley Health NHS Foundation Trust","United Kingdom (UK)",2,0.0043191518868361
"Indian Institute of Advanced Research (IIAR)",India,5,0.0043066909942779
"Wolaita Sodo University",Ethiopia,1,0.0043057050592034
"Afrosiab Museum",Uzbekistan,1,0.0042735042735043
"Archaeological Expertise LLC",Kazakhstan,1,0.0042735042735043
"University Hospital of Lord's Transfiguration",Poland,1,0.0042735042735043
"Arabian Gulf University (AGU)",Bahrain,2,0.004261139640597
"Synotech Consultants",Kenya,2,0.004261139640597
"Arbor Research Collaborative for Health","United States of America (USA)",1,0.0041666666666667
"Fred B. Luddy Family Foundation, Inc.","United States of America (USA)",1,0.0041666666666667
"San Giovanni Bosco Hospital",Italy,1,0.0041666666666667
"International Epidemiology Institute (IEI)","United States of America (USA)",3,0.0041460932864399
"KrioSystem Sp. z o.o",Poland,1,0.0041407867494824
"Groupe d’Etude Thérapeutique des Affections Inflammatoires Digestives (GETAID)",France,1,0.0041322314049587
"United Hospitals Villa Sofia-Cervello",Italy,1,0.0041322314049587
"Capital Health",Canada,1,0.0041152263374486
"Hospital Amedeo di Savoia - Birago di Vische",Italy,1,0.0041152263374486
"Hellenic Open University (HOU)",Greece,18,0.0041015981021273
"National Parks of Colombia",Colombia,1,0.0040650406504065
"University of Sinú Elías Bechara Zainúm (UNISINU)",Colombia,1,0.0040650406504065
"Eckerd College","United States of America (USA)",1,0.0040650406504065
"Saving the Blue","United States of America (USA)",1,0.0040650406504065
"Sharks Pacific","Cook Islands",1,0.0040650406504065
"Länsi-Pohjan Sairaanhoitopiirin Kuntayhtymä",Finland,1,0.0040355125100888
"Central Ostrobothnia Hospital District",Finland,1,0.0040355125100888
"The Lapland Healthcare District (LSHP)",Finland,1,0.0040355125100888
"Kainuu Central Hospital",Finland,1,0.0040355125100888
"Deep Genomics Inc.",Canada,1,0.0040322580645161
"Hereditary Breast and Ovarian Cancer Research Group (HEBON)",Netherlands,2,0.0040211955544605
"Hospital District of Eastern Savo (ISSHP)",Finland,2,0.0040026075619296
"Siun Sote—the Joint Municipal Authority for North Karelia Social and Health Services",Finland,2,0.0040026075619296
"South Savo Social and Health Care Authority (Essote)",Finland,2,0.0040026075619296
"Howard University Hospital (HUH)","United States of America (USA)",1,0.003968253968254
"University Hospital of Puerto Real",Spain,1,0.003968253968254
"McRoberts B.V.",Netherlands,1,0.003968253968254
"Galapagos N.V.",Belgium,1,0.003968253968254
"The Copenhagen General Population Study",Denmark,3,0.0039637681041147
"P. A. Kyriakou Children’s Hospital",Greece,2,0.0039487232289951
"Shahroud University of Medical Sciences (SHMU)",Iran,2,0.0039417612952547
"Three-Speed Logic, Inc.",Canada,1,0.00390625
"Dhaka Medical College and Hospital (DMCH)",Bangladesh,3,0.0038666809314096
"Bangladesh Industrial Gases Limited",Bangladesh,3,0.0038666809314096
"Center for Health Outcomes and Evaluation srl",Romania,3,0.0038666809314096
"Ananthapuri Hospitals and Research Institute (AHRI)",India,3,0.0038666809314096
"Bahia School of Medicine and Public Health (BAHIANA)",Brazil,3,0.0038666809314096
"Bio4Dreams S.p.A.",Italy,3,0.0038104714451011
"Azienda Ulss 3 Serenissima",Italy,1,0.0038022813688213
"École Supérieure d’Agricultures (ESA)",France,1,0.0037878787878788
"Woldia University (WLDU)",Ethiopia,1,0.003767491926803
"Samara University (SU)",Ethiopia,1,0.003767491926803
"Shaukat Khanum Memorial Cancer Hospital and Research Centre (SKMCH & RC)",Pakistan,2,0.0037393759785283
"University of Arkansas System Division of Agriculture (UAEX)","United States of America (USA)",1,0.0037037037037037
"ProHealth Care","United States of America (USA)",1,0.0036764705882353
"Städtisches Klinikum Karlsruhe gGmbH",Germany,1,0.0036764705882353
"Spital Bülach",Switzerland,1,0.0036101083032491
"Spital Limmattal",Switzerland,1,0.0036101083032491
"Spital Heiden Appenzell Ausserrhoden",Switzerland,1,0.0036101083032491
"St Mark's Hospital","United Kingdom (UK)",1,0.0036101083032491
"Stadtspital Triemli",Switzerland,1,0.0036101083032491
"Spital Thurgau AG",Switzerland,1,0.0036101083032491
"Hôpital Riviera-Chablais",Switzerland,1,0.0036101083032491
"Clinique de Montchoisi",Switzerland,1,0.0036101083032491
"South Devon Healthcare NHS Foundation Trust","United Kingdom (UK)",1,0.0036101083032491
"Kantonsspital Wolhusen",Switzerland,1,0.0036101083032491
"Hôpital Neuchâtelois",Switzerland,1,0.0036101083032491
"Swiss Institute of Genomic Medicine (Medigenome)",Switzerland,1,0.003584229390681
"German Leprosy Relief Association (DAHW)",Germany,1,0.0035778175313059
"Center for Infectious Diseases Research",Iran,1,0.0035778175313059
"Friends of the Mississippi River (FMR)","United States of America (USA)",1,0.0035460992907801
"Lincoln University of Missouri","United States of America (USA)",1,0.0035460992907801
"University of the Philippines Mindanao (UP Mindanao)",Philippines,1,0.0035460992907801
"Ramón Sardá Mothers' and Children's Hospital",Argentina,2,0.0035317503120329
"Northern Lincolnshire and Goole Hospitals NHS Foundation Trust","United Kingdom (UK)",2,0.0035317503120329
"Sandwell and West Birmingham Hospitals NHS Trust (SWBH)","United Kingdom (UK)",2,0.0035317503120329
"Federal Ministry for the Environment, Nature Conservation, Building and Nuclear Safety (BMU)",Germany,1,0.0035211267605634
"Marine Conservation Institute","United States of America (USA)",1,0.0035211267605634
"Census of Marine Life (CoML)","United States of America (USA)",1,0.0035211267605634
"Netherlands Comprehensive Cancer Organisation (IKNL)",Netherlands,1,0.0035026269702277
"NHS Wales","United Kingdom (UK)",1,0.0035026269702277
"CHU de Martinique",France,1,0.0035026269702277
"South Karelia Central Hospital",Finland,3,0.0035000939661957
"ImmunoBiothérapies et Cellules Dendritiques (IMBIO-CD)",France,1,0.0034722222222222
"K.E.M. Hospital Research Centre (KEMHRC)",India,1,0.0034403669724771
"North Dublin Mental Health Service",Ireland,1,0.0034246575342466
"Valkenberg Hospital","South Africa",1,0.0034246575342466
"Gaetano Fucito Hospital",Italy,1,0.0033783783783784
"Tunisia Ministry of Public Health",Tunisia,1,0.0033783783783784
"Research and Education Institute of Child Health",Cyprus,1,0.0033783783783784
"Myanmar Ministry of Health and Sports (MOHS)",Myanmar,1,0.0033783783783784
"Cuba Ministry of Public Health",Cuba,1,0.0033783783783784
"ePhood SRL",Italy,2,0.0033690112130479
"Zahedan University of Medical Sciences and Health Services (ZAUMS)",Iran,2,0.0033286785170531
"Frankfurt University of Applied Sciences",Germany,2,0.0033284677990092
"Universidad Nacional de Caaguazú (UNCA)",Paraguay,2,0.0033284677990092
"Nihon Gakko University",Paraguay,2,0.0033284677990092
"Annai Systems, Inc.","United States of America (USA)",2,0.0033266965322714
"Muhlenberg College","United States of America (USA)",1,0.0033112582781457
"Augustana University","United States of America (USA)",1,0.0033112582781457
"Ashoka Trust for Research in Ecology and the Environment (ATREE)",India,1,0.0033003300330033
"Virginia Cancer Specialists (VCS)","United States of America (USA)",1,0.0032894736842105
"Fachklinik Hornheid",Germany,1,0.0032894736842105
"Floreasca Hospital (SCUB)",Romania,1,0.0032796660703637
"Universidad Santo Tomás (UST)",Chile,1,0.0032467532467532
"Iranian Academy of Medical Sciences (IAP)",Iran,1,0.0032292787944026
"Landesklinikum Neunkirchen",Austria,1,0.0032258064516129
"Azienda Universitario Ospedaliera di Cagliari",Italy,1,0.0032258064516129
"Charles Perrens Hospital Center",France,1,0.0032258064516129
"Zorg op Orde B.V.",Netherlands,2,0.0032099464579901
"NHS Scotland","United Kingdom (UK)",1,0.0031746031746032
"National Center of Cardiology and Internal Medicine / Institute of Molecular Biology and Medicine",Kyrgyzstan,3,0.003168778626338
"West Bengal Department of Health and Family Welfare",India,3,0.003168778626338
"Vietnam Military Medical University (VMMU)",Vietnam,3,0.003168778626338
"Université de Mbujimayi",Congo,1,0.0031446540880503
"Salonga National Park",Congo,1,0.0031446540880503
"Commission des Forêts d'Afrique Centrale (COMIFAC)",Cameroon,1,0.0031446540880503
"Argosy University","United States of America (USA)",1,0.003125
"Mind Research Network (MRN)","United States of America (USA)",2,0.0031189926951173
"HMNC Brain Health (HMNC)",Germany,2,0.0031189926951173
"Singapore Gastric Cancer Consortium (SGCC)",Singapore,1,0.0031055900621118
"San Carlo Borromeo Hospital",Italy,1,0.0030864197530864
"Khachaturian Radebaugh and Associates Inc.","United States of America (USA)",2,0.0030728010267652
"Child Mind Institute","United States of America (USA)",2,0.0030529350104822
"Center for Clinical Medical Education and Research (CEMIC)",Argentina,2,0.0030272668105368
Cardio-aid,Romania,3,0.003025024203125
"State University of Semarang (UNNES)",Indonesia,3,0.003025024203125
"Policy Research Institute (PRI)",Nepal,3,0.003025024203125
"An-Najah National University","Palestinian territories",18,0.0029875573730588
"Center for Eating Disorders Ursula",Netherlands,2,0.0029070565623284
"Richard Frank Consulting","United States of America (USA)",1,0.0028985507246377
"Alzheimer's Drug Discovery Foundation","United States of America (USA)",1,0.0028985507246377
"Prevent Alzheimer's Disease 2020, Inc.","United States of America (USA)",1,0.0028985507246377
"Acumen Pharmaceuticals, Inc.","United States of America (USA)",1,0.0028985507246377
"Inova Health System","United States of America (USA)",1,0.0028735632183908
"Babol Noshirvani University of Technology (BNUT)",Iran,2,0.0028653350304538
"UKK Institute",Finland,2,0.0028653350304538
"Employees' State Insurance Corporation (ESIC)",India,2,0.0028653350304538
"Philippine Institute for Development Studies (PIDS)",Philippines,2,0.0028653350304538
"National Institute of Cholera and Enteric Diseases (NICED)",India,2,0.0028653350304538
"Qom University of Medical Sciences",Iran,2,0.0028653350304538
"National Hepatology and Tropical Research Institute (NHTMRI)",Egypt,2,0.0028653350304538
"Saudi Arabia Ministry of Health","Saudi Arabia",2,0.0028653350304538
"University of Benin (UNIBEN)",Nigeria,2,0.0028653350304538
"Abadan School of Medical Sciences (AUMS)",Iran,2,0.0028653350304538
"Sher-i-Kashmir Institute of Medical Sciences (SKIMS)",India,2,0.0028653350304538
"Southeastern Louisiana University","United States of America (USA)",1,0.0028409090909091
"Louisiana State University in Alexandria (LSUA)","United States of America (USA)",1,0.0028409090909091
"Our Lady of Holy Cross College (OLHCC)","United States of America (USA)",1,0.0028409090909091
"Nicholls State University","United States of America (USA)",1,0.0028409090909091
"Grambling State University","United States of America (USA)",1,0.0028409090909091
"Southern University at New Orleans (SUNO)","United States of America (USA)",1,0.0028409090909091
"Xavier University","United States of America (USA)",1,0.0028409090909091
"Our Lady of the Lake College (OLOL College)","United States of America (USA)",1,0.0028409090909091
"McNeese State University","United States of America (USA)",1,0.0028409090909091
"Louisiana College","United States of America (USA)",1,0.0028409090909091
"Dillard University","United States of America (USA)",1,0.0028409090909091
"Northwestern State University (NSU)","United States of America (USA)",1,0.0028409090909091
"Centenary College of Louisiana","United States of America (USA)",1,0.0028409090909091
"Loyola University New Orleans","United States of America (USA)",1,0.0028409090909091
"National Institute of Cardiology",Poland,1,0.0028153153153153
"Canisius College","United States of America (USA)",1,0.0027932960893855
"Renal Association","United Kingdom (UK)",2,0.0027443487372298
"Ministry of Fisheries, Marine Resources and Agriculture (MoFA)",Maldives,1,0.002710027100271
"St. Paul's Hospital Millennium Medical College (SPHMMC)",Ethiopia,1,0.0026910656620022
"Datta Meghe Institute of Medical Sciences (DMIMS)",India,1,0.0026910656620022
"St John of God Health Care (SJGHC)",Australia,2,0.0026457678679403
"Bashkir State University (BashSU)",Russia,1,0.0026269702276708
"Pediatric Endocrine Specialists of Georgia","United States of America (USA)",1,0.0026041666666667
"Art Institute of Chicago (AIC)","United States of America (USA)",1,0.0026041666666667
"Mario Negri Sud Foundation (FMNS)",Italy,1,0.0026041666666667
"Genextra S.p.A.",Italy,1,0.0026041666666667
"Nanjing Audit University",China,1,0.0025380710659898
"Kempenhaeghe Expertise Centre for Epileptology and Sleep Medicine",Netherlands,1,0.0025380710659898
"Kathmandu University",Nepal,2,0.0025090937800278
"University North",Croatia,2,0.0024868110707246
"Dezful University of Medical Sciences (DUMS)",Iran,2,0.0024868110707246
"Polyclinic Dr. Zora Profozić",Croatia,2,0.0024868110707246
"JinJian Cereals Industry Co., Ltd.",China,1,0.0024691358024691
"Yuan Long Ping High-Tech Agriculture CO., LTD. (LPHT)",China,1,0.0024691358024691
"Modern Agricultural Equipment Co., LTD.",China,1,0.0024691358024691
Cellarity,"United States of America (USA)",1,0.0024271844660194
"Blue Note Biosciences","United States of America (USA)",1,0.0024154589371981
"Oregon Research Institute (ORI)","United States of America (USA)",2,0.0023862232289951
"BioRealm, LLC","United States of America (USA)",2,0.0023862232289951
"Kymenlaakso Social and Health Services (Carea)",Finland,2,0.0023739678400695
"Lancashire Teaching Hospitals NHS Foundation Trust","United Kingdom (UK)",1,0.0023622047244094
"SeqWell, Inc.","United States of America (USA)",1,0.0022727272727273
"National Institute of Public Health - National Institute of Hygiene (NIPH - NIH)",Poland,1,0.0022522522522523
"University of Public Health, Yangon (UOPH)",Myanmar,1,0.0022522522522523
"Fundación Oftalmológica de Santander",Colombia,1,0.0022522522522523
"National Heart Foundation of Australia",Australia,1,0.0022522522522523
"India Diabetes Research Foundation (IDRF)",India,1,0.0022522522522523
"National Center for Diabetes, Endocrinology and Genetics (NCDEG)",Jordan,1,0.0022522522522523
"Fasa University of Medical Sciences (FUMS)",Iran,1,0.0022522522522523
"Regional Authority of Public Health (RAPH)",Slovakia,1,0.0022522522522523
"Cardiovascular Prevention Centre Udine",Italy,1,0.0022522522522523
"National Institute for Health Development (NIHD)",Estonia,1,0.0022522522522523
"Ministry of Health (MOH)",Brunei,1,0.0022522522522523
"Birzeit University","Palestinian territories",1,0.0022522522522523
"Asfendiyarov Kazakh National Medical University (KazNMU)",Kazakhstan,1,0.0022522522522523
"Ufa Eye Research Institute",Russia,1,0.0022522522522523
"Dasman Diabetes Institute (DDI)",Kuwait,1,0.0022522522522523
"aks gesundheit GmbH",Austria,1,0.0022522522522523
"B.P. Koirala Institute of Health Sciences (BPKIHS)",Nepal,1,0.0022522522522523
"University of Cuenca",Ecuador,1,0.0022522522522523
"Centro de Investigación y Promoción del Campesinado (CIPCA)",Bolivia,1,0.002212389380531
"Universidad Autónoma del Beni ""José Ballivián"" (UABJB)",Bolivia,1,0.002212389380531
"Federal Rural University of the Amazon (UFRA)",Brazil,1,0.002212389380531
CarboForExpert,Switzerland,1,0.002212389380531
"Ministère des Eaux, des Forêts, de la Mer, de L'Environnement, Chargé du Plan Climat",Gabon,1,0.002212389380531
"Bangladesh University of Health Sciences (BUHS)",Bangladesh,1,0.0021528525296017
"Government Institute of Forensic Science, Nagpur (IFSc Nagpur)",India,1,0.0021528525296017
"Privatpraxis Prof. Jonas und Dr. Panda-Jonas",Germany,2,0.0021305698202985
"University Emergency Hospital Bucharest",Romania,2,0.0021305698202985
"Corporacion Colombiana de Investigacion Agropecuaria (AGROSAVIA)",Colombia,2,0.0021305698202985
"Mahatma Gandhi University of Medical Sciences Technology (MGUMST)",India,2,0.0021305698202985
"Rajasthan University for Health Sciences (RUHS)",India,2,0.0021305698202985
"GGZ Rivierduinen",Netherlands,1,0.0020833333333333
"Technical University of Sofia",Bulgaria,1,0.0020703933747412
"UCLPartners Academic Health Science Partnership","United Kingdom (UK)",2,0.0020194408038445
"Hospital Punta de Europa",Spain,1,0.001984126984127
"Psychiatrische Zentrum Nordbaden (PZN)",Germany,1,0.001984126984127
"Hospital Universitario de Jaén",Spain,1,0.001984126984127
"Unidad de Gestión Clínica del Dispositivo de Cuidados Críticos y Urgencias del Distrito Sanitario Málaga-Coín-Guadalhorce",Spain,1,0.001984126984127
PsyQ,Netherlands,1,0.001984126984127
"East London NHS Foundation Trust (ELFT)","United Kingdom (UK)",1,0.001984126984127
"Hospital de Jerez de la Frontera",Spain,1,0.001984126984127
"University of the Coast (CUC)",Colombia,2,0.0019708806476273
"IIHMR University",India,2,0.0019708806476273
"Euromedica General Clinic",Greece,1,0.0019011406844106
"Université du Québec en Outaouais (UQO)",Canada,1,0.0018939393939394
"TÉLUQ University",Canada,1,0.0018939393939394
"Centro de Estudios en Diabetes A.C.",Mexico,2,0.0018906521200099
"Araya Inc.",Japan,2,0.00184784698193
